product_name,color,category,price,currency,materials,source_url,style_folder,num_images
Salutation Crop Jacket,Bright White,Jackets > All Jackets,71.4,USD,,https://athleta.gap.com/browse/product.do?pid=413489032,15_SALUTATION_CROP_JACKET,8
Salutation Crop Jacket,Blue Star,Jackets > All Jackets,34.97,USD,,https://athleta.gap.com/browse/product.do?pid=413489142,15_SALUTATION_CROP_JACKET,6
Salutation Crop Jacket,Black,Jackets > All Jackets,71.4,USD,,https://athleta.gap.com/browse/product.do?pid=413489012,15_SALUTATION_CROP_JACKET,10
RainOut Traverse Jacket,Black,Jackets > All Jackets,64.97,USD,,https://athleta.gap.com/browse/product.do?pid=413450002,14_RAINOUT_TRAVERSE_JACKET,7
Athleta Girl Right Moves Bra,Quartz Heather,Athleta Girl > Girl Bras & Undies,14.97,USD,,https://athleta.gap.com/browse/product.do?pid=413967082,16_ATHLETA_GIRL_RIGHT_MOVES_BRA,4
Salutation Crop Jacket,Waterfall,Jackets > All Jackets,49.99,USD,,https://athleta.gap.com/browse/product.do?pid=413489252,15_SALUTATION_CROP_JACKET,7
Salutation Crop Jacket,Breaker,Jackets > All Jackets,39.97,USD,,https://athleta.gap.com/browse/product.do?pid=413489242,15_SALUTATION_CROP_JACKET,7
Midday Oversized Poplin Shirt,Bright White,Tops > All Tops,74.99,USD,,https://athleta.gap.com/browse/product.do?pid=414480002,17_MIDDAY_OVERSIZED_POPLIN_SHIRT,6
Salutation Crop Jacket,Auburn,Jackets > All Jackets,32.97,USD,,https://athleta.gap.com/browse/product.do?pid=413489152,15_SALUTATION_CROP_JACKET,6
Midday Oversized Poplin Shirt,Current/Bright White,Tops > All Tops,64.97,USD,,https://athleta.gap.com/browse/product.do?pid=414480202,17_MIDDAY_OVERSIZED_POPLIN_SHIRT,7
Forever Fleece Relaxed Crew Sweatshirt,Black,Tops > Sweatshirts,22.97,USD,,https://athleta.gap.com/browse/product.do?pid=414588012,18_FOREVER_FLEECE_RELAXED_CREW_SWEATSHIRT,5
Forever Fleece Relaxed Crew Sweatshirt,Grey Heather,Tops > Sweatshirts,24.97,USD,,https://athleta.gap.com/browse/product.do?pid=414588002,18_FOREVER_FLEECE_RELAXED_CREW_SWEATSHIRT,8
Forever Fleece Relaxed Crew Sweatshirt,Magnolia White,Tops > Sweatshirts,22.97,USD,,https://athleta.gap.com/browse/product.do?pid=414588072,18_FOREVER_FLEECE_RELAXED_CREW_SWEATSHIRT,6
Forever Fleece Relaxed Crew Sweatshirt,Elm,Tops > Sweatshirts,39.97,USD,,https://athleta.gap.com/browse/product.do?pid=414588232,18_FOREVER_FLEECE_RELAXED_CREW_SWEATSHIRT,7
Transcend Top,Black,Tops > Long Sleeve Tops,19.97,USD,,https://athleta.gap.com/browse/product.do?pid=415288142,19_TRANSCEND_TOP,5
Transcend Top,Bone,Tops > Long Sleeve Tops,19.97,USD,,https://athleta.gap.com/browse/product.do?pid=415288172,19_TRANSCEND_TOP,6
Transcend Top,Truffle,Tops > Long Sleeve Tops,19.97,USD,,https://athleta.gap.com/browse/product.do?pid=415288212,19_TRANSCEND_TOP,5
Transcend Top,Plum,Tops > Long Sleeve Tops,18.97,USD,,https://athleta.gap.com/browse/product.do?pid=415288182,19_TRANSCEND_TOP,5
Forever Fleece Relaxed Crew Sweatshirt,Dahlia,Tops > Sweatshirts,22.97,USD,,https://athleta.gap.com/browse/product.do?pid=414588342,18_FOREVER_FLEECE_RELAXED_CREW_SWEATSHIRT,8
Transcend Top,Primrose,Tops > Long Sleeve Tops,54.97,USD,,https://athleta.gap.com/browse/product.do?pid=415288222,19_TRANSCEND_TOP,5
Pranayama Restore Rib Wrap,Bone Rib,Tops > Sweatshirts,39.97,USD,,https://athleta.gap.com/browse/product.do?pid=415557002,20_PRANAYAMA_RESTORE_RIB_WRAP,7
Pranayama Restore Rib Wrap,Elm Rib,Tops > Sweatshirts,69.97,USD,,https://athleta.gap.com/browse/product.do?pid=415557082,20_PRANAYAMA_RESTORE_RIB_WRAP,6
